Rep,Tissue,Genotype,Nitenpyram
1,Body,Wxac,537186.33
2,Body,Wxac,350397.70
3,Body,Wxac,364973.92
1,Head,Wxac,29739.99
2,Head,Wxac,10007.03
3,Head,Wxac,13127.84
1,Body,Mdr65KO,2309089.56
2,Body,Mdr65KO,1817703.31
3,Body,Mdr65KO,1686395.22
1,Head,Mdr65KO,57409.78
2,Head,Mdr65KO,51420.94
3,Head,Mdr65KO,48269.95
