,pesticide,genotype,rep,dose,alive,dead,total,percent_survival,percent_mortality,stage,date,conditions
106,chlorantraniliprole,mdr49ko,1,0.5,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
107,chlorantraniliprole,mdr49ko,2,0.5,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
108,chlorantraniliprole,mdr49ko,3,0.5,3,47,50,0,0.94,L1,7.3.16,25d_Hoff
109,chlorantraniliprole,mdr49ko,4,0.5,23,27,50,0,0.54,L1,7.3.16,25d_Hoff
110,chlorantraniliprole,mdr49ko,5,0.5,7,43,50,0,0.86,L1,7.3.16,25d_Hoff
111,chlorantraniliprole,mdr50ko,1,0.5,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
112,chlorantraniliprole,mdr50ko,2,0.5,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
113,chlorantraniliprole,mdr50ko,3,0.5,6,44,50,0,0.88,L1,7.3.16,25d_Hoff
114,chlorantraniliprole,mdr50ko,4,0.5,4,46,50,0,0.92,L1,7.3.16,25d_Hoff
115,chlorantraniliprole,mdr50ko,5,0.5,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
116,chlorantraniliprole,mdr65ko,1,0.5,2,48,50,0,0.96,L1,7.3.16,25d_Hoff
117,chlorantraniliprole,mdr65ko,2,0.5,0,50,50,0,1,L1,7.3.16,25d_Hoff
118,chlorantraniliprole,mdr65ko,3,0.5,5,45,50,0,0.9,L1,7.3.16,25d_Hoff
119,chlorantraniliprole,mdr65ko,4,0.5,3,47,50,0,0.94,L1,7.3.16,25d_Hoff
120,chlorantraniliprole,mdr65ko,5,0.5,0,50,50,0,1,L1,7.3.16,25d_Hoff
141,chlorantraniliprole,wxac,1,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
142,chlorantraniliprole,wxac,2,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
143,chlorantraniliprole,wxac,3,0,47,3,50,0.94,0.06,L1,7.3.16,25d_Hoff
144,chlorantraniliprole,wxac,4,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
145,chlorantraniliprole,wxac,5,0,48,2,50,0.96,0.04,L1,7.3.16,25d_Hoff
146,chlorantraniliprole,mdr49ko,1,0,39,11,50,0.78,0.22,L1,7.3.16,25d_Hoff
147,chlorantraniliprole,mdr49ko,2,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
148,chlorantraniliprole,mdr49ko,3,0,43,7,50,0.86,0.14,L1,7.3.16,25d_Hoff
149,chlorantraniliprole,mdr49ko,4,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
150,chlorantraniliprole,mdr49ko,5,0,32,18,50,0.64,0.36,L1,7.3.16,25d_Hoff
151,chlorantraniliprole,mdr50ko,1,0,43,7,50,0.86,0.14,L1,7.3.16,25d_Hoff
152,chlorantraniliprole,mdr50ko,2,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
153,chlorantraniliprole,mdr50ko,3,0,44,6,50,0.88,0.12,L1,7.3.16,25d_Hoff
154,chlorantraniliprole,mdr50ko,4,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
155,chlorantraniliprole,mdr50ko,5,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
156,chlorantraniliprole,mdr65ko,1,0,45,5,50,0.9,0.1,L1,7.3.16,25d_Hoff
157,chlorantraniliprole,mdr65ko,2,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
158,chlorantraniliprole,mdr65ko,3,0,40,10,50,0.8,0.2,L1,7.3.16,25d_Hoff
159,chlorantraniliprole,mdr65ko,4,0,42,8,50,0.84,0.16,L1,7.3.16,25d_Hoff
160,chlorantraniliprole,mdr65ko,5,0,41,9,50,0.82,0.18,L1,7.3.16,25d_Hoff
161,imidacloprid,wxac,1,0.05,40,10,50,0,0.2,L1,7.3.16,25d_Hoff
162,imidacloprid,wxac,2,0.05,37,13,50,0,0.26,L1,7.3.16,25d_Hoff
163,imidacloprid,wxac,3,0.05,43,7,50,0,0.14,L1,7.3.16,25d_Hoff
164,imidacloprid,wxac,4,0.05,36,14,50,0,0.28,L1,7.3.16,25d_Hoff
165,imidacloprid,wxac,5,0.05,42,8,50,0,0.16,L1,7.3.16,25d_Hoff
166,imidacloprid,mdr49ko,1,0.05,34,16,50,0,0.32,L1,7.3.16,25d_Hoff
167,imidacloprid,mdr49ko,2,0.05,35,15,50,0,0.3,L1,7.3.16,25d_Hoff
168,imidacloprid,mdr49ko,3,0.05,32,18,50,0,0.36,L1,7.3.16,25d_Hoff
169,imidacloprid,mdr49ko,4,0.05,37,13,50,0,0.26,L1,7.3.16,25d_Hoff
170,imidacloprid,mdr49ko,5,0.05,35,15,50,0,0.3,L1,7.3.16,25d_Hoff
